Feature,Importance
Employment,1.0634461501125245
Age,1.0168682856296387
BMI,0.7774695686045273
DII_food,0.7046719831222935
Marriage,0.526771400687403
ActivityLevel,0.5169394869136369
Smoke,0.3285028807669602
Education,0.31128350729397536
Gender,0.2851252360481358
Alcohol,0.11731202372164563
