iter	Logloss
0	0.6478231154
1	0.6127549495
2	0.5767177298
3	0.5448804453
4	0.5162964658
5	0.4920605295
6	0.4701999356
7	0.4473821823
8	0.4274850431
9	0.4124533277
10	0.3968376833
11	0.3823532988
12	0.3701170047
13	0.3594522556
14	0.3477658681
15	0.3395261751
16	0.3304436768
17	0.3218917648
18	0.3111500406
19	0.3043371874
20	0.2972672533
21	0.2904976583
22	0.284153069
23	0.2777261343
24	0.2720062507
25	0.2663392535
26	0.2616565213
27	0.2577526922
28	0.2532026273
29	0.2492017725
30	0.2442824308
31	0.2416651853
32	0.2379121157
33	0.2348155883
34	0.2319616963
35	0.2293751703
36	0.2266034768
37	0.224010782
38	0.2212018006
39	0.2185352761
40	0.2167251067
41	0.2139199487
42	0.210825921
43	0.2071777116
44	0.2051818767
45	0.2035630924
46	0.2006341629
47	0.197766889
48	0.19454911
49	0.1930569857
50	0.1901357442
51	0.188257316
52	0.1859604584
53	0.1839364367
54	0.181374412
55	0.1794030302
56	0.1776418105
57	0.1761748355
58	0.1739138093
59	0.1712764027
60	0.1697709435
61	0.1684357748
62	0.1673651239
63	0.1673429053
64	0.1656107235
65	0.1633102446
66	0.1617642404
67	0.1617459063
68	0.1609109275
69	0.1598655831
70	0.1579586288
71	0.1562908289
72	0.1553502053
73	0.1536854299
74	0.151983098
75	0.1519042012
76	0.1503588714
77	0.1489852412
78	0.1483168621
79	0.1464469903
80	0.1452363035
81	0.1441294635
82	0.1441203475
83	0.1433188803
84	0.1422591053
85	0.1419219773
86	0.1410282331
87	0.1403803747
88	0.1396492497
89	0.1380595514
90	0.1371137215
91	0.1364353701
92	0.1353153602
93	0.1346261441
94	0.1338543601
95	0.1333426072
96	0.1326644055
97	0.1315921696
98	0.1304205874
99	0.1293251439
100	0.1293199851
101	0.1293169952
102	0.1288148066
103	0.1288060046
104	0.1280899952
105	0.1269913704
106	0.1264646514
107	0.1257929217
108	0.1250977271
109	0.1247464796
110	0.1247436223
111	0.1237175181
112	0.1236861414
113	0.1228017432
114	0.1226935895
115	0.1223579813
116	0.1218246895
117	0.1217407993
118	0.1211480975
119	0.1203876201
120	0.1202721291
121	0.1194077739
122	0.1192824204
123	0.1185480108
124	0.1185470451
125	0.1185442616
126	0.1175734582
127	0.1175698952
128	0.1169643455
129	0.1169636189
130	0.1158701399
131	0.1147846985
132	0.1140401153
133	0.1130869891
134	0.1127321032
135	0.1123908593
136	0.1121200446
137	0.1114128358
138	0.1114113691
139	0.1109141241
140	0.1104012184
141	0.1104009778
142	0.1097463477
143	0.1093138927
144	0.1085284357
145	0.1080834749
146	0.1080108194
147	0.1080082431
148	0.1071495959
149	0.1066438924
150	0.1061596323
151	0.1055460805
152	0.1053407854
153	0.1049736603
154	0.1049735059
155	0.1045856247
156	0.1039054715
157	0.1035140985
158	0.1030733834
159	0.1030408049
160	0.1029128301
161	0.1022543368
162	0.1020591363
163	0.1020048729
164	0.1019653538
165	0.1015641689
166	0.1009950716
167	0.1009949938
168	0.1005635405
169	0.1004958184
170	0.1004629385
171	0.09954821433
172	0.09880481908
173	0.09861222815
174	0.09830581073
175	0.09830575022
176	0.09801825823
177	0.09801821873
178	0.09754184938
179	0.09705187568
180	0.09623125636
181	0.09601224282
182	0.09550501411
183	0.09499295565
184	0.09497688655
185	0.09441772501
186	0.09416307276
187	0.09383899249
188	0.09371044249
189	0.09297264037
190	0.09283030571
191	0.09204983339
192	0.09132990292
193	0.09105714991
194	0.09049412053
195	0.09030530516
196	0.09030530352
197	0.09024974248
198	0.08960792799
199	0.08960612101
200	0.08933442327
201	0.08912559118
202	0.08839904763
